2018-06-17 19:39:00,178 | DEBUG | Looking up name="env/activemq.conf" | jndi | main
2018-06-17 19:39:00,182 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,203 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@15c25153 | jndi | main
2018-06-17 19:39:00,208 | DEBUG | Looking up name="activemq.conf" | jndi | main
2018-06-17 19:39:00,391 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,396 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@43b4fe19 | jndi | main
2018-06-17 19:39:00,414 | DEBUG | Looking up name="comp/env/spring.liveBeansView.mbeanDomain" | jndi | main
2018-06-17 19:39:00,417 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:00,420 | DEBUG | Looking up name="env/spring.liveBeansView.mbeanDomain" | jndi | main
2018-06-17 19:39:00,430 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,435 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@549621f3 | jndi | main
2018-06-17 19:39:00,440 | DEBUG | Looking up name="spring.liveBeansView.mbeanDomain" | jndi | main
2018-06-17 19:39:00,452 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-06-17 19:39:00,453 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-06-17 19:39:00,454 | DEBUG | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2018-06-17 19:39:00,469 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,474 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@2f2bf0e2 | jndi | main
2018-06-17 19:39:00,638 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,642 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@5ebd56e9 | jndi | main
2018-06-17 19:39:00,653 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-06-17 19:39:00,669 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,672 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@499b2a5c | jndi | main
2018-06-17 19:39:00,688 | DEBUG | Looking up name="comp/env/spring.profiles.active" | jndi | main
2018-06-17 19:39:00,693 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:00,703 | DEBUG | Looking up name="env/spring.profiles.active" | jndi | main
2018-06-17 19:39:00,712 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,727 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@2b27cc70 | jndi | main
2018-06-17 19:39:00,730 | DEBUG | Looking up name="spring.profiles.active" | jndi | main
2018-06-17 19:39:00,735 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
