2018-06-21 08:58:46,158 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:58:46,163 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:58:46,168 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:58:46,169 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:58:48,170 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:58:48,175 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:58:48,179 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:58:48,181 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:58:52,183 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:58:52,188 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:58:52,191 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:58:52,193 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:59:00,195 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:05,208 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-105
2018-06-21 08:59:05,213 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-105
2018-06-21 08:59:05,214 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:05,215 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:59:05,219 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:59:05,220 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:59:05,221 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:59:06,222 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:06,225 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:59:06,226 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:59:06,228 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:08,229 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:59:08,234 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:59:08,236 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:59:08,237 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:59:12,238 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:12,243 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:59:12,245 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:59:12,246 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:20,247 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:59:25,255 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:59:25,257 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:59:25,258 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:59:25,260 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:25,274 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:59:25,275 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:25,279 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:59:26,277 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:59:26,280 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:59:26,282 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:59:26,283 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:59:28,284 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:28,294 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:59:28,295 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:59:28,296 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:59:32,297 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
